Designator,Mid X,Mid Y,Rotation,Layer
C1,197.502,-63.16,90.0,top
C2,196.232,-63.16,90.0,top
D1,186.8,-121.4125,270.0,top
D2,183.8,-121.4,270.0,top
J2,176.4,-84.4,270.0,top
R1,199.28,-69.51,90.0,top
R2,199.28,-65.954,270.0,top
R3,197.032,-71.2,180.0,top
R4,191.914,-63.414,180.0,top
R5,181.0,-99.2,90.0,top
R6,187.0,-118.4,180.0,top
R9,183.69,-118.4,180.0,top
SW1,176.41,-110.39,270.0,top
U2,194.2,-67.224,0.0,top
U3,194.725,-80.59,0.0,top
U4,210.48,-120.6,180.0,top
U6,194.98,-85.17,270.0,top
